source_folder,file,issue,detail
Sitara-2,conversation_5270185_4336.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Sitara-2,conversation_646444_4336.csv,no_end_markers,
Sitara-2,conversation_646444_4336.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_1338879_1953.csv,large_internal_gap_possible_unmarked_boundary,26.5h gap inside one detected session with no marker
Human_Astro,conversation_1338879_1953.csv,large_internal_gap_possible_unmarked_boundary,11.1h gap inside one detected session with no marker
Human_Astro,conversation_1338879_1953.csv,large_internal_gap_possible_unmarked_boundary,20.8h gap inside one detected session with no marker
Human_Astro,conversation_1378119_1270.csv,no_end_markers,
Human_Astro,conversation_1378119_1270.csv,large_internal_gap_possible_unmarked_boundary,9.7h gap inside one detected session with no marker
Human_Astro,conversation_1378119_1270.csv,large_internal_gap_possible_unmarked_boundary,62.4h gap inside one detected session with no marker
Human_Astro,conversation_1378119_1270.csv,large_internal_gap_possible_unmarked_boundary,15.6h gap inside one detected session with no marker
Human_Astro,conversation_1378119_1270.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_1680677_1931.csv,large_internal_gap_possible_unmarked_boundary,47.5h gap inside one detected session with no marker
Human_Astro,conversation_1680677_1931.csv,large_internal_gap_possible_unmarked_boundary,10.2h gap inside one detected session with no marker
Human_Astro,conversation_1680677_1931.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_2221141_168.csv,large_internal_gap_possible_unmarked_boundary,35.9h gap inside one detected session with no marker
Human_Astro,conversation_2634220_347.csv,no_end_markers,
Human_Astro,conversation_2634220_347.csv,large_internal_gap_possible_unmarked_boundary,19.2h gap inside one detected session with no marker
Human_Astro,conversation_2634220_347.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_2678448_3177.csv,large_internal_gap_possible_unmarked_boundary,3.7h gap inside one detected session with no marker
Human_Astro,conversation_2725383_4463.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Astro,conversation_2725383_4463.csv,large_internal_gap_possible_unmarked_boundary,15.2h gap inside one detected session with no marker
Human_Astro,conversation_2946836_3183.csv,no_end_markers,
Human_Astro,conversation_2946836_3183.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_3064704_1747.csv,no_end_markers,
Human_Astro,conversation_3064704_1747.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_3079187_926.csv,large_internal_gap_possible_unmarked_boundary,25.2h gap inside one detected session with no marker
Human_Astro,conversation_3079187_926.csv,large_internal_gap_possible_unmarked_boundary,17.1h gap inside one detected session with no marker
Human_Astro,conversation_3079187_926.csv,large_internal_gap_possible_unmarked_boundary,91.4h gap inside one detected session with no marker
Human_Astro,conversation_3084324_3727.csv,large_internal_gap_possible_unmarked_boundary,46.3h gap inside one detected session with no marker
Human_Astro,conversation_3089486_1765.csv,no_end_markers,
Human_Astro,conversation_3089486_1765.csv,large_internal_gap_possible_unmarked_boundary,4.0h gap inside one detected session with no marker
Human_Astro,conversation_3089486_1765.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_3100018_2041.csv,no_end_markers,
Human_Astro,conversation_3100018_2041.csv,large_internal_gap_possible_unmarked_boundary,22.6h gap inside one detected session with no marker
Human_Astro,conversation_3100018_2041.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_3129759_3821.csv,large_internal_gap_possible_unmarked_boundary,49.9h gap inside one detected session with no marker
Human_Astro,conversation_3137279_2041.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Astro,conversation_3141140_670.csv,unexpected_raw_order,only 89% descending / 1% ascending steps
Human_Astro,conversation_3217935_1737.csv,large_internal_gap_possible_unmarked_boundary,98.2h gap inside one detected session with no marker
Human_Astro,conversation_3217935_1737.csv,large_internal_gap_possible_unmarked_boundary,13.1h gap inside one detected session with no marker
Human_Astro,conversation_3274321_3667.csv,large_internal_gap_possible_unmarked_boundary,61.8h gap inside one detected session with no marker
Human_Astro,conversation_3283278_321.csv,large_internal_gap_possible_unmarked_boundary,4.7h gap inside one detected session with no marker
Human_Astro,conversation_3289400_670.csv,large_internal_gap_possible_unmarked_boundary,20.6h gap inside one detected session with no marker
Human_Astro,conversation_3292393_4042.csv,large_internal_gap_possible_unmarked_boundary,47.3h gap inside one detected session with no marker
Human_Astro,conversation_3308505_2019.csv,large_internal_gap_possible_unmarked_boundary,9.1h gap inside one detected session with no marker
Human_Astro,conversation_3355731_1117.csv,large_internal_gap_possible_unmarked_boundary,100.4h gap inside one detected session with no marker
Human_Astro,conversation_3371122_1117.csv,large_internal_gap_possible_unmarked_boundary,18.2h gap inside one detected session with no marker
Human_Astro,conversation_3371122_1117.csv,large_internal_gap_possible_unmarked_boundary,5.9h gap inside one detected session with no marker
Human_Astro,conversation_3385183_546.csv,large_internal_gap_possible_unmarked_boundary,6.2h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,2.1h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,3.6h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,2.9h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,2.2h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,2.4h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,4.6h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,5.8h gap inside one detected session with no marker
Human_Astro,conversation_3395760_1031.csv,large_internal_gap_possible_unmarked_boundary,3.5h gap inside one detected session with no marker
Human_Astro,conversation_3428129_1844.csv,large_internal_gap_possible_unmarked_boundary,56.2h gap inside one detected session with no marker
Human_Astro,conversation_3428988_546.csv,large_internal_gap_possible_unmarked_boundary,3.9h gap inside one detected session with no marker
Human_Astro,conversation_3428988_546.csv,large_internal_gap_possible_unmarked_boundary,56.9h gap inside one detected session with no marker
Human_Astro,conversation_3428988_546.csv,large_internal_gap_possible_unmarked_boundary,2.7h gap inside one detected session with no marker
Human_Astro,conversation_3460845_3788.csv,large_internal_gap_possible_unmarked_boundary,40.9h gap inside one detected session with no marker
Human_Astro,conversation_3460845_3788.csv,large_internal_gap_possible_unmarked_boundary,5.6h gap inside one detected session with no marker
Human_Astro,conversation_3460845_3788.csv,large_internal_gap_possible_unmarked_boundary,4.0h gap inside one detected session with no marker
Human_Astro,conversation_3475164_2462.csv,large_internal_gap_possible_unmarked_boundary,7.7h gap inside one detected session with no marker
Human_Astro,conversation_3540611_1747.csv,large_internal_gap_possible_unmarked_boundary,9.9h gap inside one detected session with no marker
Human_Astro,conversation_3540611_1747.csv,large_internal_gap_possible_unmarked_boundary,5.6h gap inside one detected session with no marker
Human_Astro,conversation_3540611_1747.csv,large_internal_gap_possible_unmarked_boundary,32.5h gap inside one detected session with no marker
Human_Astro,conversation_3568670_1747.csv,large_internal_gap_possible_unmarked_boundary,24.3h gap inside one detected session with no marker
Human_Astro,conversation_3607008_1041.csv,large_internal_gap_possible_unmarked_boundary,4.0h gap inside one detected session with no marker
Human_Astro,conversation_3607008_1041.csv,large_internal_gap_possible_unmarked_boundary,24.9h gap inside one detected session with no marker
Human_Astro,conversation_3684647_765.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Astro,conversation_3712530_4320.csv,large_internal_gap_possible_unmarked_boundary,2.6h gap inside one detected session with no marker
Human_Astro,conversation_3761643_2353.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Astro,conversation_3761643_2353.csv,large_internal_gap_possible_unmarked_boundary,19.8h gap inside one detected session with no marker
Human_Astro,conversation_3761643_2353.csv,large_internal_gap_possible_unmarked_boundary,12.2h gap inside one detected session with no marker
Human_Astro,conversation_3761643_2353.csv,large_internal_gap_possible_unmarked_boundary,22.5h gap inside one detected session with no marker
Human_Astro,conversation_3775635_1691.csv,large_internal_gap_possible_unmarked_boundary,19.4h gap inside one detected session with no marker
Human_Astro,conversation_3775635_1691.csv,session_missing_end_marker,last session in file
Human_Astro,conversation_418962_1436.csv,large_internal_gap_possible_unmarked_boundary,87.8h gap inside one detected session with no marker
Human_Astro,conversation_418962_1436.csv,large_internal_gap_possible_unmarked_boundary,36.4h gap inside one detected session with no marker
Human_Single,conversation_1028497_4.csv,no_session_markers_found,treating entire file as a single session
Human_Single,conversation_1045860_285.csv,unexpected_raw_order,only 90% descending / 0% ascending steps
Human_Single,conversation_1045860_285.csv,no_end_markers,
Human_Single,conversation_1045860_285.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1045860_285.csv,session_missing_end_marker,last session in file
Human_Single,conversation_1185325_1883.csv,unexpected_raw_order,only 88% descending / 0% ascending steps
Human_Single,conversation_1185325_1883.csv,no_end_markers,
Human_Single,conversation_1185325_1883.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1185325_1883.csv,large_internal_gap_possible_unmarked_boundary,68.2h gap inside one detected session with no marker
Human_Single,conversation_1185325_1883.csv,session_missing_end_marker,last session in file
Human_Single,conversation_1279776_4.csv,no_end_markers,
Human_Single,conversation_1279776_4.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1279776_4.csv,session_missing_end_marker,last session in file
Human_Single,conversation_1377435_2442.csv,unexpected_raw_order,only 86% descending / 0% ascending steps
Human_Single,conversation_1377435_2442.csv,no_end_markers,
Human_Single,conversation_1377435_2442.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1377435_2442.csv,session_missing_end_marker,last session in file
Human_Single,conversation_1393970_340.csv,no_end_markers,
