,callback_prior_session,callback_within_session,claim_certainty=absolute,claim_certainty=hedged,concrete_dated_prediction,disengagement_signal,emotional_disclosure,ending_type=abrupt_trail_off,ending_type=open_thread,ending_type=resolved_closed,enthusiastic_engagement,n_astro_messages,n_sessions,n_user_messages,neutral_factual,pushback_disagreement,reframe,repair_after_pushback=defer,repair_after_pushback=none_of_above,repair_after_pushback=offer_options,repair_after_pushback=repeat,self_correction,specific_open_thread_named,specificity=generic_broad,specificity=personalized_specific,validation,wall_hit
baseline_returned,0.05384374019454032,0.39372450580483215,0.9137525218560861,0.08624747814391392,0.053655475368685285,0.0315622161671208,0.2528761731759007,0.4054982817869416,0.44673539518900346,0.14776632302405499,0.06365425370874962,15942.0,583.0,13816.0,0.5277020890099909,0.06925522252497729,0.10229055538123627,0.04966139954853273,0.6967644845748683,0.06170052671181339,0.19187358916478556,0.006212739253216191,0.014935676184499529,0.04729514294824105,0.952704857051759,0.10128647631000941,0.10309278350515463
baseline_not_returned,0.011976047904191617,0.49101796407185627,0.9642857142857143,0.03571428571428571,0.023952095808383235,0.032520325203252036,0.25203252032520324,,,,0.016260162601626018,167.0,0.0,146.0,0.3902439024390244,0.056910569105691054,0.08982035928143713,,0.14285714285714285,,0.8571428571428571,0.0,0.005988023952095809,0.07777777777777778,0.9222222222222223,0.041916167664670656,
Sitara-1,0.07035175879396985,0.2964824120603015,0.9243697478991597,0.07563025210084033,0.09045226130653267,0.07142857142857142,0.14285714285714285,0.6666666666666666,0.25,0.08333333333333333,0.21428571428571427,199.0,12.0,193.0,0.3076923076923077,0.15384615384615385,0.09547738693467336,0.24,0.56,,0.2,0.005025125628140704,0.05527638190954774,0.034722222222222224,0.9652777777777778,0.06030150753768844,0.4166666666666667
Sitara-2,0.6086956521739131,0.43478260869565216,0.85,0.15,0.43478260869565216,0.0,0.5,,,1.0,0.0,23.0,1.0,15.0,0.0,0.07142857142857142,0.4782608695652174,,,1.0,,0.0,0.043478260869565216,,1.0,0.08695652173913043,0.0
