covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
concrete_dated_prediction,2.1736972488218176,8.790725531267615,1.4844967609671191,-0.7358629378401016,5.083257435483737,0.47909185405314464,161.29862094776533,0.0,1.4642654035874747,0.14312144606713156,2.804688225642729
specific_open_thread_named,1.0144973787215856,2.7579768311059287,1.3777467017145686,-1.6858365364578174,3.7148312939009887,0.18528936579603142,41.051660834601535,0.0,0.7363453510424456,0.4615205533801985,1.1155331965300541
callback_prior_session,0.44692345702958647,1.563494620183725,0.7027358774284802,-0.9304135533743886,1.8242604674335614,0.3943905750881979,6.1982095459476465,0.0,0.6359764335144129,0.5247917824452066,0.9301829654770372
callback_within_session,0.41618026423509297,1.5161591535081922,0.30359365529305615,-0.17885236607416505,1.011212894544351,0.8362293461056142,2.7489331598706555,0.0,1.3708463829171857,0.17042284841971242,2.552809325684913
validation,-1.4479848824647576,0.23504345137427962,0.7806083206070477,-2.977949076886867,0.08197931195735153,0.05089711295950392,1.0854333541057455,0.0,-1.8549442072801865,0.06360419424069982,3.9747342857313965
self_correction,6.077162353513729,435.7908182279244,2.992115015896893,0.2127246847543267,11.941600022273132,1.2370440272759886,153522.13265194764,0.0,2.0310590740082515,0.042249002398604026,4.564938913506022
reframe,0.3441004782324615,1.4107203750764736,0.7221522137437052,-1.0712918520610717,1.7594928085259947,0.3425656872556296,5.809490123191553,0.0,0.47649300477611517,0.6337231897473943,0.6580752860441949
