pattern,support,support_frac,length
user_neutral_factual -> user_neutral_factual,41,0.8541666666666666,2
user_neutral_factual -> astro_callback_within,40,0.8333333333333334,2
user_neutral -> user_neutral_factual,40,0.8333333333333334,2
astro_callback_within -> astro_callback_within,39,0.8125,2
astro_other -> astro_callback_within,39,0.8125,2
astro_other -> user_neutral_factual,39,0.8125,2
user_neutral -> astro_callback_within,39,0.8125,2
user_neutral -> astro_other,39,0.8125,2
user_neutral_factual -> user_neutral_factual -> user_neutral_factual,39,0.8125,3
astro_callback_within -> user_neutral_factual,38,0.7916666666666666,2
user_neutral_factual -> user_neutral_factual -> astro_callback_within,38,0.7916666666666666,3
astro_callback_within -> astro_callback_within -> astro_callback_within,38,0.7916666666666666,3
astro_other -> astro_other,37,0.7708333333333334,2
astro_other -> user_emotional_disclosure,37,0.7708333333333334,2
user_neutral -> user_neutral_factual -> user_neutral_factual,37,0.7708333333333334,3
