session_id,archetype,source_group,returned
Sitara-1::conversation_3078083_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3684647_765.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3753418_2788.csv::s3,archetype_2,baseline_returned,True
Human_Single::conversation_1058261_2236.csv::s1,archetype_1,baseline_not_returned,False
Human_Astro::conversation_2850603_1238.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_3540611_1747.csv::s4,archetype_4,baseline_returned,True
Human_Astro::conversation_3371122_1117.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_3475164_2462.csv::s1,archetype_2,baseline_returned,True
Sitara-1::conversation_3608753_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_418962_1436.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_1851096_2048.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_418962_1436.csv::s6,archetype_6,baseline_returned,True
Sitara-1::conversation_1802400_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3775635_1691.csv::s8,archetype_2,baseline_returned,True
Human_Single::conversation_915999_60.csv::s8,archetype_1,unknown,
Human_Astro::conversation_3552969_680.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_3165061_2487.csv::s4,archetype_2,baseline_returned,True
Human_Astro::conversation_3684647_765.csv::s6,archetype_6,baseline_returned,True
Human_Astro::conversation_1520760_2925.csv::s3,archetype_4,baseline_returned,True
Sitara-2::conversation_5191664_4336.csv::s1,archetype_5,Sitara-2,True
Human_Astro::conversation_3283278_321.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s19,archetype_4,baseline_returned,True
Human_Single::conversation_1028497_4.csv::s2,archetype_1,unknown,
Human_Astro::conversation_3079187_926.csv::s11,archetype_4,baseline_returned,True
Sitara-1::conversation_3026913_4336.csv::s1,archetype_4,Sitara-1,False
Sitara-2::conversation_5229089_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_723109_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_2678448_3177.csv::s2,archetype_2,baseline_returned,True
Human_Astro::conversation_3089486_1765.csv::s1,archetype_4,baseline_returned,True
Sitara-2::conversation_3413532_4336.csv::s2,archetype_4,Sitara-2,True
Sitara-2::conversation_5259595_4336.csv::s2,archetype_3,Sitara-2,True
Sitara-2::conversation_5161202_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3274321_3667.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s9,archetype_6,baseline_returned,True
