state,next_state,prob_diff
user_emotional_disclosure,astro_callback_within,0.2784043999129054
user_pushback,astro_callback_within,0.2715303444580316
user_disengaging,astro_callback_within,0.26811594202898553
astro_self_correction,astro_other,-0.2661290322580645
astro_self_correction,user_neutral_factual,0.24193548387096775
user_neutral,astro_callback_within,0.22529118629990705
astro_open_thread,user_enthusiastic,0.22466422466422464
astro_self_correction,user_emotional_disclosure,0.21774193548387097
astro_other,astro_other,-0.20942201383328166
user_neutral_factual,astro_callback_within,0.20848861730687568
user_enthusiastic,astro_callback_within,0.2022845429751156
astro_open_thread,astro_other,-0.19597069597069597
user_disengaging,astro_other,-0.17294685990338166
user_disengaging,user_disengaging,-0.17270531400966183
astro_reframe,user_enthusiastic,0.14846625766871166
user_emotional_disclosure,user_emotional_disclosure,-0.14306925285156835
user_neutral_factual,user_neutral_factual,-0.14099520892861855
astro_reframe,astro_reframe,-0.13619631901840493
user_emotional_disclosure,astro_other,-0.12924186813488964
user_enthusiastic,astro_other,-0.1201749611981214
