,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.19047619047619047,0.023809523809523808,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.11904761904761904,0.0,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.0,0.0,0.30952380952380953
user_disengaging,0.0,0.13636363636363635,0.06818181818181818,0.022727272727272728,0.11363636363636363,0.022727272727272728,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.5227272727272727
user_emotional_disclosure,0.0040650406504065045,0.0,0.1910569105691057,0.02032520325203252,0.07317073170731707,0.06097560975609756,0.012195121951219513,0.0,0.17886178861788618,0.028455284552845527,0.036585365853658534,0.0,0.0040650406504065045,0.3902439024390244
user_enthusiastic,0.008130081300813009,0.0,0.032520325203252036,0.0975609756097561,0.10569105691056911,0.016260162601626018,0.04065040650406504,0.0,0.2601626016260163,0.024390243902439025,0.016260162601626018,0.0,0.008130081300813009,0.3902439024390244
user_neutral_factual,0.004559270516717325,0.015197568389057751,0.0547112462006079,0.03343465045592705,0.1899696048632219,0.025835866261398176,0.0243161094224924,0.00303951367781155,0.1656534954407295,0.015197568389057751,0.010638297872340425,0.001519756838905775,0.00303951367781155,0.45288753799392095
user_neutral,0.0043859649122807015,0.0,0.039473684210526314,0.013157894736842105,0.12280701754385964,0.14912280701754385,0.03508771929824561,0.0,0.16228070175438597,0.013157894736842105,0.013157894736842105,0.0043859649122807015,0.0043859649122807015,0.43859649122807015
astro_dated_prediction,0.028985507246376812,0.0,0.11594202898550725,0.08695652173913043,0.11594202898550725,0.10144927536231885,0.08695652173913043,0.0,0.21739130434782608,0.0,0.014492753623188406,0.0,0.028985507246376812,0.2028985507246377
astro_callback_prior,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
astro_callback_within,0.010893246187363835,0.006535947712418301,0.0718954248366013,0.04793028322440087,0.25272331154684097,0.058823529411764705,0.02178649237472767,0.0,0.2984749455337691,0.026143790849673203,0.006535947712418301,0.0,0.0,0.19825708061002179
astro_reframe,0.06060606060606061,0.015151515151515152,0.030303030303030304,0.09090909090909091,0.19696969696969696,0.06060606060606061,0.0,0.0,0.16666666666666666,0.07575757575757576,0.015151515151515152,0.0,0.030303030303030304,0.25757575757575757
astro_validation,0.02040816326530612,0.0,0.14285714285714285,0.0,0.16326530612244897,0.04081632653061224,0.04081632653061224,0.0,0.10204081632653061,0.061224489795918366,0.12244897959183673,0.0,0.0,0.30612244897959184
astro_self_correction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8
astro_open_thread,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222
astro_other,0.012626262626262626,0.01936026936026936,0.07912457912457913,0.03787878787878788,0.26851851851851855,0.06313131313131314,0.010942760942760943,0.0008417508417508417,0.06565656565656566,0.018518518518518517,0.01430976430976431,0.0025252525252525255,0.005050505050505051,0.4015151515151515
