,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,-0.1080364380813674,-0.0017621357222351985,-0.06529520067050466,0.007093197400420439,-0.037138813701378115,-0.013554361715282834,0.05210151000948049,-0.014141740289361236,0.2715303444580316,-0.01455737074236408,-0.011204847418969238,0.008267954548577238,0.003424657534246575,-0.07672675560929364
user_disengaging,-0.012801932367149759,-0.17270531400966183,-0.034541062801932365,0.04685990338164251,-0.04903381642512077,-0.0012077294685990322,0.020531400966183576,0.011352657004830919,0.26811594202898553,0.0536231884057971,-0.017391304347826087,0.0,0.060144927536231886,-0.17294685990338166
user_emotional_disclosure,-0.007236953085579377,-0.0027822716385900483,-0.14306925285156835,0.014341629367828351,-0.049617549118910156,-0.016487411781404407,0.03085207812059929,-0.014132810369312375,0.2784043999129054,0.0032660480372872017,0.030462678991694053,0.0,0.0052412825499400665,-0.12924186813488964
user_enthusiastic,0.001103973529443687,-0.0033444816053511705,-0.037660692495305785,-0.007458023422224916,-0.042163415991800825,-0.02677756018748944,0.054133466058240806,-0.004513577168835076,0.2022845429751156,-0.004524430841175112,-0.021468563888591703,0.0,0.010563724236095284,-0.1201749611981214
user_neutral_factual,-0.002842014601131912,-0.003306966846361833,-0.025474968631317825,0.006797227560296246,-0.14099520892861855,-0.004068452102481423,0.00637929834915562,0.004867843681999533,0.20848861730687568,0.021082633385874378,0.010885352564794622,-0.0008766437069505323,0.009129666016501246,-0.09006638404863526
user_neutral,-0.001937946172556309,-0.0012112163578476927,-0.03331092171092962,0.004815202989974095,-0.08432372929396799,-0.10098907762990501,0.047866940879458426,-0.0013908389197598015,0.22529118629990705,-0.002180189444125848,-0.006113758758659785,-0.0008041817450743868,0.010526870876096687,-0.05623834101260983
astro_dated_prediction,0.04164935604486913,0.027047337422713168,0.04841271780835307,0.11704220533248612,-0.06588015347393633,0.07564334416774604,-0.07231359515139667,-0.019300325032381046,-0.018463305554876713,-0.010233632297954496,-0.003103692661110975,0.0,-0.007099391480730223,-0.11340086512378113
astro_callback_prior,0.03406360424028269,0.0018657243816254422,-0.017517078916372206,0.11902002355712603,0.04718021201413425,0.03288574793875147,-0.011090694935217905,-0.08725559481743227,-0.020117785630153123,-0.02237926972909305,-0.007067137809187279,0.0,-0.002355712603062426,-0.06723203769140164
astro_callback_within,0.022463264598784338,0.00901571261428168,0.053559906056226084,0.10188645292989709,-0.029990153469018177,0.055877816574698286,-0.012342518534279864,-0.006526028060673914,-0.11379946711261421,-0.0032251960371175985,-0.004354887373029205,0.0004440497335701599,0.0017045109801010862,-0.0747134629008257
astro_reframe,-0.02085889570552147,-0.0024539877300613503,0.024539877300613494,0.14846625766871166,-0.013496932515337429,0.08711656441717791,0.003680981595092024,-0.006134969325153374,-0.035582822085889566,-0.13619631901840493,0.0061349693251533735,0.0,0.0196319018404908,-0.07484662576687118
astro_validation,0.005924695459579181,-0.005260243632336656,0.07663344407530454,-0.011129568106312292,0.055592469545957895,0.01805094130675526,0.0012735326688815066,-0.020155038759689922,-0.04955703211517165,-0.009246954595791806,0.011960132890365446,-0.0015503875968992248,-0.0031007751937984496,-0.06943521594684385
astro_self_correction,-0.03225806451612903,0.0,0.21774193548387097,0.0,0.24193548387096775,-0.03225806451612903,0.0,0.0,-0.06451612903225806,-0.06451612903225806,0.0,0.0,0.0,-0.2661290322580645
astro_open_thread,0.08547008547008547,-0.02564102564102564,0.024420024420024417,0.22466422466422464,-0.1141636141636142,0.05372405372405372,-0.038461538461538464,0.0,0.0409035409035409,-0.01282051282051282,-0.01282051282051282,0.0,-0.02930402930402931,-0.19597069597069597
astro_other,0.017969496117393124,-0.008381007703499359,0.05640252134160924,0.10626177394942815,0.003458898984335379,0.061976102643381825,0.005171280589125615,-0.01163605632672835,-0.01305683741496913,-0.0076130492002585825,-0.005182273465741568,-0.002008032128514056,0.006059196447719421,-0.20942201383328166
