,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.04035874439461883,0.004484304932735426,0.017937219730941704,0.0,0.013452914798206279,0.013452914798206279,0.04035874439461883,0.02242152466367713,0.5515695067264574,0.026905829596412557,0.04932735426008968,0.008968609865470852,0.02242152466367713,0.18834080717488788
user_disengaging,0.036585365853658534,0.04878048780487805,0.0,0.04878048780487805,0.012195121951219513,0.036585365853658534,0.06097560975609756,0.012195121951219513,0.35365853658536583,0.04878048780487805,0.04878048780487805,0.0,0.0975609756097561,0.1951219512195122
user_emotional_disclosure,0.0056179775280898875,0.0,0.06179775280898876,0.0056179775280898875,0.019662921348314606,0.014044943820224719,0.047752808988764044,0.033707865168539325,0.49157303370786515,0.08146067415730338,0.07865168539325842,0.0,0.016853932584269662,0.14325842696629212
user_enthusiastic,0.0,0.008146639511201629,0.010183299389002037,0.07535641547861507,0.008146639511201629,0.010183299389002037,0.07942973523421588,0.014256619144602852,0.5010183299389002,0.038696537678207736,0.002036659877800407,0.0,0.034623217922606926,0.21792260692464357
user_neutral_factual,0.003472222222222222,0.0,0.015625,0.017361111111111112,0.06770833333333333,0.03819444444444445,0.09375,0.006944444444444444,0.4340277777777778,0.046875,0.012152777777777778,0.0,0.03125,0.2326388888888889
user_neutral,0.0055147058823529415,0.003676470588235294,0.001838235294117647,0.003676470588235294,0.01838235294117647,0.04963235294117647,0.1213235294117647,0.025735294117647058,0.35661764705882354,0.011029411764705883,0.012867647058823529,0.0,0.016544117647058824,0.37316176470588236
astro_dated_prediction,0.08208955223880597,0.014925373134328358,0.1455223880597015,0.11194029850746269,0.208955223880597,0.16044776119402984,0.041044776119402986,0.011194029850746268,0.06343283582089553,0.0037313432835820895,0.0037313432835820895,0.0,0.03731343283582089,0.11567164179104478
astro_callback_prior,0.07936507936507936,0.0,0.1746031746031746,0.06349206349206349,0.06349206349206349,0.12698412698412698,0.06349206349206349,0.1746031746031746,0.015873015873015872,0.07936507936507936,0.015873015873015872,0.0,0.015873015873015872,0.12698412698412698
astro_callback_within,0.059420289855072465,0.02318840579710145,0.09565217391304348,0.1471014492753623,0.16594202898550725,0.12246376811594203,0.01956521739130435,0.002898550724637681,0.2072463768115942,0.016666666666666666,0.002898550724637681,0.0007246376811594203,0.04420289855072464,0.09202898550724638
astro_reframe,0.07801418439716312,0.04964539007092199,0.18439716312056736,0.15602836879432624,0.14184397163120568,0.15602836879432624,0.02127659574468085,0.0,0.028368794326241134,0.05673758865248227,0.0070921985815602835,0.0,0.0070921985815602835,0.11347517730496454
astro_validation,0.08450704225352113,0.0,0.14084507042253522,0.056338028169014086,0.056338028169014086,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.16901408450704225,0.04225352112676056,0.028169014084507043,0.0,0.04225352112676056,0.29577464788732394
astro_self_correction,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
astro_open_thread,0.06358381502890173,0.046242774566473986,0.09826589595375723,0.4046242774566474,0.09248554913294797,0.10982658959537572,0.028901734104046242,0.0,0.08092485549132948,0.0,0.0,0.0,0.011560693641618497,0.06358381502890173
astro_other,0.06693306693306693,0.01998001998001998,0.07992007992007992,0.1028971028971029,0.1848151848151848,0.1088911088911089,0.03496503496503497,0.002997002997002997,0.08091908091908091,0.024975024975024976,0.004995004995004995,0.0,0.04095904095904096,0.24675324675324675
