,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.1765295887662989,0.012036108324974924,0.08926780341023069,0.010030090270812437,0.07823470411233702,0.034102306920762285,0.03009027081243731,0.03811434302908726,0.279839518555667,0.03510531594784353,0.01805416248746239,0.0020060180541624875,0.0,0.19658976930792377
user_disengaging,0.02391304347826087,0.22826086956521738,0.04565217391304348,0.008695652173913044,0.09347826086956522,0.04565217391304348,0.02391304347826087,0.010869565217391304,0.16521739130434782,0.013043478260869565,0.017391304347826087,0.0,0.006521739130434782,0.3173913043478261
user_emotional_disclosure,0.013639001741149159,0.004062681369704005,0.24550203134068485,0.008705745792222866,0.09315147997678468,0.03569355774811375,0.022925130586186882,0.024376088218224026,0.2196749854904237,0.04410911201392919,0.0502031340684852,0.0,0.0011607661056297156,0.236796285548462
user_enthusiastic,0.004459308807134894,0.0033444816053511705,0.055741360089186176,0.11594202898550725,0.08249721293199554,0.0379041248606466,0.055741360089186176,0.032329988851727984,0.2552954292084727,0.0379041248606466,0.02564102564102564,0.0,0.0033444816053511705,0.2898550724637681
user_neutral_factual,0.011271133375078271,0.007138384470882906,0.061490294301815906,0.020788979336255477,0.24520976831559174,0.03318722604884158,0.031934877896055106,0.02654978083907326,0.20300563556668755,0.013400125234815279,0.014402003757044458,0.0008766437069505323,0.0031308703819661866,0.3276142767689418
user_neutral,0.012866907921190189,0.008041817450743867,0.05790108564535585,0.008845999195818254,0.1471652593486128,0.1897868918375553,0.038198632891033375,0.03417772416566144,0.1640530759951749,0.014475271411338963,0.008845999195818254,0.0008041817450743868,0.0004020908725371934,0.31443506232408525
astro_dated_prediction,0.05172413793103448,0.006085192697768763,0.07809330628803246,0.04259634888438134,0.2616632860040568,0.06592292089249494,0.10243407707910751,0.02231237322515213,0.1389452332657201,0.019269776876267748,0.009127789046653144,0.0,0.007099391480730223,0.1947261663286004
astro_callback_prior,0.045936395759717315,0.014134275618374558,0.0895170789163722,0.03297997644287397,0.2968197879858657,0.04711425206124853,0.027090694935217905,0.16725559481743227,0.10011778563015312,0.02237926972909305,0.007067137809187279,0.0,0.002355712603062426,0.14723203769140164
astro_callback_within,0.03837154890032756,0.011854624863515833,0.0960848541569178,0.03088441740758072,0.26844486039619403,0.050694119482140074,0.030104507877086257,0.011854624863515833,0.30385275308064263,0.013882389642801436,0.0070191857744501636,0.0,0.0014038371548900327,0.1355482763999376
astro_reframe,0.05766871165644172,0.008588957055214725,0.1411042944785276,0.04785276073619632,0.19141104294478528,0.053987730061349694,0.026993865030674847,0.012269938650306749,0.09693251533742331,0.1668711656441718,0.024539877300613498,0.0,0.0049079754601227,0.1668711656441718
astro_validation,0.015503875968992248,0.012403100775193798,0.15193798449612403,0.03255813953488372,0.20155038759689922,0.024806201550387597,0.020155038759689922,0.020155038759689922,0.08527131782945736,0.04496124031007752,0.10232558139534884,0.0015503875968992248,0.0031007751937984496,0.2837209302325581
astro_self_correction,0.03225806451612903,0.0,0.03225806451612903,0.0,0.25806451612903225,0.03225806451612903,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.5161290322580645
astro_open_thread,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.32051282051282054,0.02564102564102564,0.038461538461538464,0.0,0.038461538461538464,0.01282051282051282,0.01282051282051282,0.0,0.07692307692307693,0.24358974358974358
astro_other,0.02673853307968717,0.016592686535616148,0.08867047135912069,0.026949904882688648,0.2857746776580004,0.053899809765377296,0.014901712111604312,0.014373282604100613,0.09152399069964066,0.017649545550623546,0.015218769816106531,0.002008032128514056,0.0030648911435214544,0.34263369266539845
