,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.17849223946784923,0.011086474501108648,0.08980044345898004,0.008869179600886918,0.07538802660753881,0.03436807095343681,0.025498891352549888,0.041019955654102,0.29379157427937913,0.03215077605321508,0.018847006651884702,0.0022172949002217295,0.0,0.188470066518847
user_disengaging,0.02849740932642487,0.24352331606217617,0.04145077720207254,0.007772020725388601,0.09585492227979274,0.04922279792746114,0.025906735751295335,0.007772020725388601,0.17616580310880828,0.012953367875647668,0.018134715025906734,0.0,0.007772020725388601,0.2849740932642487
user_emotional_disclosure,0.014690451206715634,0.004896817068905212,0.24728926197971318,0.007694998251136761,0.0968870234347674,0.03427771948233648,0.024833857992305003,0.02658272123119972,0.23015040223854494,0.044421126267925846,0.04756908009793634,0.0,0.001049317943336831,0.21965722280517663
user_enthusiastic,0.0045385779122541605,0.0045385779122541605,0.05597579425113464,0.10741301059001512,0.08169440242057488,0.0453857791225416,0.06354009077155824,0.04084720121028744,0.2617246596066566,0.036308623298033284,0.030257186081694403,0.0,0.0030257186081694403,0.264750378214826
user_neutral_factual,0.012399163429937257,0.00672243800418285,0.05960561697042127,0.019868538990140423,0.25455631909172394,0.03391096504332238,0.03226770242007768,0.027636689572751717,0.21048700328652525,0.012697938452345384,0.014938751120406334,0.00089632506722438,0.0034359127576934568,0.3105766357932477
user_neutral,0.013786312161496799,0.009354997538158542,0.06105366814377154,0.008370260955194485,0.14918759231905465,0.19054652880354506,0.038897095027080254,0.0379123584441162,0.1634662727720335,0.015263417035942885,0.007877892663712457,0.0004923682914820286,0.0,0.30379123584441164
astro_dated_prediction,0.05447941888619855,0.006053268765133172,0.07627118644067797,0.04116222760290557,0.2772397094430993,0.06416464891041163,0.10411622276029056,0.026634382566585957,0.13317191283292978,0.021791767554479417,0.009685230024213076,0.0,0.004842615012106538,0.18038740920096852
astro_callback_prior,0.04699738903394256,0.014360313315926894,0.0926892950391645,0.03263707571801567,0.2898172323759791,0.04960835509138381,0.02741514360313316,0.16840731070496084,0.1031331592689295,0.022193211488250653,0.007832898172323759,0.0,0.0026109660574412533,0.1422976501305483
astro_callback_within,0.04198753208654199,0.012651265126512651,0.09992665933259992,0.028052805280528052,0.27301063439677303,0.047671433810047674,0.030803080308030802,0.012834616795012835,0.30216354968830217,0.013201320132013201,0.007150715071507151,0.0,0.0016501650165016502,0.1288962229556289
astro_reframe,0.06408345752608048,0.00894187779433681,0.14307004470938897,0.040238450074515646,0.19523099850968703,0.05663189269746647,0.028315946348733235,0.011922503725782414,0.09239940387481371,0.17734724292101342,0.028315946348733235,0.0,0.0029806259314456036,0.15052160953800298
astro_validation,0.016853932584269662,0.011235955056179775,0.15730337078651685,0.035580524344569285,0.1947565543071161,0.026217228464419477,0.020599250936329586,0.024344569288389514,0.08426966292134831,0.04681647940074907,0.10112359550561797,0.0018726591760299626,0.003745318352059925,0.2752808988764045
astro_self_correction,0.043478260869565216,0.0,0.043478260869565216,0.0,0.34782608695652173,0.043478260869565216,0.0,0.0,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.391304347826087
astro_open_thread,0.030303030303030304,0.030303030303030304,0.10606060606060606,0.06060606060606061,0.3333333333333333,0.015151515151515152,0.015151515151515152,0.0,0.045454545454545456,0.015151515151515152,0.015151515151515152,0.0,0.07575757575757576,0.25757575757575757
astro_other,0.03017832647462277,0.01646090534979424,0.08930041152263374,0.023045267489711935,0.29368998628257886,0.052949245541838136,0.014814814814814815,0.01673525377229081,0.09698216735253773,0.01783264746227709,0.01577503429355281,0.0017832647462277093,0.002880658436213992,0.32757201646090534
